Ticker,Name
CL UN Equity,Colgate-Palmolive Co
AIR FP Equity,Airbus SE
INFO IS Equity,Infosys Ltd
GLEN LN Equity,Glencore PLC
9432 JT Equity,Nippon Telegraph & Telephone Corp
BMO CT Equity,Bank of Montreal
GD UN Equity,General Dynamics Corp
DTE GY Equity,Deutsche Telekom AG
BSX UN Equity,Boston Scientific Corp
IBE SQ Equity,Iberdrola SA
FISV UW Equity,Fiserv Inc
AON UN Equity,Aon PLC
RIO LN Equity,Rio Tinto PLC
TFC UN Equity,Truist Financial Corp
ETN UN Equity,Eaton Corp PLC
CS FP Equity,AXA SA
DG UN Equity,Dollar General Corp
4568 JT Equity,Daiichi Sankyo Co Ltd
VALE3 BS Equity,Vale SA
USB UN Equity,US Bancorp
ITW UN Equity,Illinois Tool Works Inc
APD UN Equity,Air Products and Chemicals Inc
BNS CT Equity,Bank of Nova Scotia/The
8306 JT Equity,Mitsubishi UFJ Financial Group Inc
D UN Equity,Dominion Energy Inc
MCK UN Equity,McKesson Corp
CCI UN Equity,Crown Castle Inc
EW UN Equity,Edwards Lifesciences Corp
WBC AT Equity,Westpac Banking Corp
VLO UN Equity,Valero Energy Corp
BNP FP Equity,BNP Paribas SA
939 HK Equity,China Construction Bank Corp
ICE UN Equity,Intercontinental Exchange Inc
ATVI UW Equity,Activision Blizzard Inc
OXY UN Equity,Occidental Petroleum Corp
LRCX UW Equity,Lam Research Corp
SHW UN Equity,Sherwin-Williams Co/The
IHC DH Equity,International Holding Co PJSC
ADM UN Equity,Archer-Daniels-Midland Co
NSC UN Equity,Norfolk Southern Corp
DG FP Equity,Vinci SA
BAM/A CT Equity,Brookfield Asset Management Inc
ORLY UW Equity,O'Reilly Automotive Inc
UBER UN Equity,Uber Technologies Inc
EMR UN Equity,Emerson Electric Co
SNB AB Equity,Saudi National Bank/The
UBSG SE Equity,UBS Group AG
DVN UN Equity,Devon Energy Corp
REL LN Equity,RELX PLC
F UN Equity,Ford Motor Co
MBG GY Equity,Mercedes-Benz Group AG
EQIX UW Equity,Equinix Inc
PSX UN Equity,Phillips 66
RKT LN Equity,Reckitt Benckiser Group PLC
LHX UN Equity,L3Harris Technologies Inc
EL FP Equity,EssilorLuxottica SA
HDFC IS Equity,Housing Development Finance Corp Ltd
BAYN GY Equity,Bayer AG
FIS UN Equity,Fidelity National Information Services Inc
GM UN Equity,General Motors Co
PANW UW Equity,Palo Alto Networks Inc
SNOW UN Equity,Snowflake Inc
SU CT Equity,Suncor Energy Inc
AZO UN Equity,AutoZone Inc
HCA UN Equity,HCA Healthcare Inc
7974 JT Equity,Nintendo Co Ltd
GIS UN Equity,General Mills Inc
MRNA UW Equity,Moderna Inc
SNPS UW Equity,Synopsys Inc
CTVA UN Equity,Corteva Inc
CFR SE Equity,Cie Financiere Richemont SA
FCX UN Equity,Freeport-McMoRan Inc
SRE UN Equity,Sempra Energy
SAN SQ Equity,Banco Santander SA
PSA UN Equity,Public Storage
MAR UW Equity,Marriott International Inc/MD
ADSK UW Equity,Autodesk Inc
AEP UW Equity,American Electric Power Co Inc
KLAC UW Equity,KLA Corp
NTR CT Equity,Nutrien Ltd
ABBN SE Equity,ABB Ltd
CDNS UW Equity,Cadence Design Systems Inc
RMS FP Equity,Hermes International
CNC UN Equity,Centene Corp
9433 JT Equity,KDDI Corp
ANZ AT Equity,Australia & New Zealand Banking Group Ltd
AIG UN Equity,American International Group Inc
APH UN Equity,Amphenol Corp
WDS AT Equity,Woodside Energy Group Ltd
MET UN Equity,MetLife Inc
TRV UN Equity,Travelers Cos Inc/The
BAS GY Equity,BASF SE
9618 HK Equity,JD.com Inc
EL UN Equity,Estee Lauder Cos Inc/The
TRP CT Equity,TC Energy Corp
6098 JT Equity,Recruit Holdings Co Ltd
9984 JT Equity,SoftBank Group Corp
DBS SP Equity,DBS Group Holdings Ltd
4063 JT Equity,Shin-Etsu Chemical Co Ltd
CMG UN Equity,Chipotle Mexican Grill Inc
SAF FP Equity,Safran SA
SYY UN Equity,Sysco Corp
6501 JT Equity,Hitachi Ltd
ABNB UW Equity,Airbnb Inc
BIIB UW Equity,Biogen Inc
ROP UN Equity,Roper Technologies Inc
MELI UW Equity,MercadoLibre Inc
A UN Equity,Agilent Technologies Inc
LNG UA Equity,Cheniere Energy Inc
8035 JT Equity,Tokyo Electron Ltd
6367 JT Equity,Daikin Industries Ltd
MSI UN Equity,Motorola Solutions Inc
KMB UN Equity,Kimberly-Clark Corp
MCO UN Equity,Moody's Corp
HES UN Equity,Hess Corp
CM CT Equity,Canadian Imperial Bank of Commerce
300750 C2 Equity,Contemporary Amperex Technology Co Ltd
DXCM UW Equity,Dexcom Inc
4502 JT Equity,Takeda Pharmaceutical Co Ltd
ECL UN Equity,Ecolab Inc
NG/ LN Equity,National Grid PLC
WMB UN Equity,Williams Cos Inc/The
8001 JT Equity,ITOCHU Corp
NXPI UW Equity,NXP Semiconductors NV
JCI UN Equity,Johnson Controls International plc
FDX UN Equity,FedEx Corp
PRU UN Equity,Prudential Financial Inc
LONN SE Equity,Lonza Group AG
FTNT UW Equity,Fortinet Inc
AJG UN Equity,Arthur J Gallagher & Co
COF UN Equity,Capital One Financial Corp
TEL UN Equity,TE Connectivity Ltd
388 HK Equity,Hong Kong Exchanges & Clearing Ltd
CPG LN Equity,Compass Group PLC
8058 JT Equity,Mitsubishi Corp
PAYX UW Equity,Paychex Inc
2317 TT Equity,Hon Hai Precision Industry Co Ltd
MUV2 GY Equity,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen
AFL UN Equity,Aflac Inc
1398 HK Equity,Industrial & Commercial Bank of China Ltd
EXC UW Equity,Exelon Corp
NUE UN Equity,Nucor Corp
NDA FH Equity,Nordea Bank Abp
INGA NA Equity,ING Groep NV
MQG AT Equity,Macquarie Group Ltd
O UN Equity,Realty Income Corp
PH UN Equity,Parker-Hannifin Corp
ADYEN NA Equity,Adyen NV
EA UW Equity,Electronic Arts Inc
7267 JT Equity,Honda Motor Co Ltd
EQNR NO Equity,Equinor ASA
HLT UN Equity,Hilton Worldwide Holdings Inc
CTAS UW Equity,Cintas Corp
LULU UW Equity,Lululemon Athletica Inc
7741 JT Equity,Hoya Corp
AAL LN Equity,Anglo American PLC
ATD CT Equity,Alimentation Couche-Tard Inc
KMI UN Equity,Kinder Morgan Inc
TT UN Equity,Trane Technologies PLC
ILMN UW Equity,Illumina Inc
ABI BB Equity,Anheuser-Busch InBev SA/NV
RI FP Equity,Pernod Ricard SA
CHTR UW Equity,Charter Communications Inc
8316 JT Equity,Sumitomo Mitsui Financial Group Inc
DOW UN Equity,Dow Inc
SIKA SE Equity,Sika AG
MNST UW Equity,Monster Beverage Corp
MCHP UW Equity,Microchip Technology Inc
WCN CT Equity,Waste Connections Inc
HSY UN Equity,Hershey Co/The
NEM UN Equity,Newmont Corp
XEL UW Equity,Xcel Energy Inc
ALL UN Equity,Allstate Corp/The
ENPH UQ Equity,Enphase Energy Inc
KKR UN Equity,KKR & Co Inc
DPW GY Equity,Deutsche Post AG
TCS IS Equity,Tata Consultancy Services Ltd
SPG UN Equity,Simon Property Group Inc
IQV UN Equity,IQVIA Holdings Inc
SHOP CT Equity,Shopify Inc
ENEL IM Equity,Enel SpA
LLOY LN Equity,Lloyds Banking Group PLC
8766 JT Equity,Tokio Marine Holdings Inc
CRWD UW Equity,Crowdstrike Holdings Inc
RMD UN Equity,ResMed Inc
ISP IM Equity,Intesa Sanpaolo SpA
KDP UW Equity,Keurig Dr Pepper Inc
CMI UN Equity,Cummins Inc
MRVL UW Equity,Marvell Technology Inc
KER FP Equity,Kering SA
TWTR UN Equity,Twitter Inc
GPN UN Equity,Global Payments Inc
MSCI UN Equity,MSCI Inc
8031 JT Equity,Mitsui & Co Ltd
PRX NA Equity,Prosus NV
STZ UN Equity,Constellation Brands Inc
WES AT Equity,Wesfarmers Ltd
BBCA IJ Equity,Bank Central Asia Tbk PT
CTSH UW Equity,Cognizant Technology Solutions Corp
CVE CT Equity,Cenovus Energy Inc
VOD LN Equity,Vodafone Group PLC
DLTR UW Equity,Dollar Tree Inc
ALB UN Equity,Albemarle Corp
BBVA SQ Equity,Banco Bilbao Vizcaya Argentaria SA
OCBC SP Equity,Oversea-Chinese Banking Corp Ltd
MFC CT Equity,Manulife Financial Corp
YUM UN Equity,Yum! Brands Inc
BN FP Equity,Danone SA
PETR4 BS Equity,Petroleo Brasileiro SA
LSEG LN Equity,London Stock Exchange Group PLC
IFX GY Equity,Infineon Technologies AG
000660 KP Equity,SK Hynix Inc
9983 JT Equity,Fast Retailing Co Ltd
CARR UN Equity,Carrier Global Corp
KEYS UN Equity,Keysight Technologies Inc
ED UN Equity,Consolidated Edison Inc
BK UN Equity,Bank of New York Mellon Corp/The
005935 KP Equity,Samsung Electronics Co Ltd
ENI IM Equity,Eni SpA
AMP UN Equity,Ameriprise Financial Inc
ITC IS Equity,ITC Ltd
ROST UW Equity,Ross Stores Inc
WBD UW Equity,Warner Bros Discovery Inc
DB1 GY Equity,Deutsche Boerse AG
PCAR UW Equity,PACCAR Inc
6981 JT Equity,Murata Manufacturing Co Ltd
ALC SE Equity,Alcon Inc
SQ UN Equity,Block Inc
BA/ LN Equity,BAE Systems PLC
VICI UN Equity,VICI Properties Inc
WDAY UW Equity,Workday Inc
HAL UN Equity,Halliburton Co
STLA IM Equity,Stellantis NV
MTB UN Equity,M&T Bank Corp
IDXX UW Equity,IDEXX Laboratories Inc
EXPN LN Equity,Experian PLC
BAX UN Equity,Baxter International Inc
OTIS UN Equity,Otis Worldwide Corp
AXSB IS Equity,Axis Bank Ltd
KR UN Equity,Kroger Co/The
KMB IS Equity,Kotak Mahindra Bank Ltd
CEG UW Equity,Constellation Energy Corp
KHC UW Equity,Kraft Heinz Co/The
CSGP UW Equity,CoStar Group Inc
ON UW Equity,ON Semiconductor Corp
TDG UN Equity,TransDigm Group Inc
3988 HK Equity,Bank of China Ltd
3382 JT Equity,Seven & i Holdings Co Ltd
RSG UN Equity,Republic Services Inc
AME UN Equity,AMETEK Inc
DLR UN Equity,Digital Realty Trust Inc
PEG UN Equity,Public Service Enterprise Group Inc
TEAM UW Equity,Atlassian Corp
BARC LN Equity,Barclays PLC
AD NA Equity,Koninklijke Ahold Delhaize NV
WEC UN Equity,WEC Energy Group Inc
CSU CT Equity,Constellation Software Inc/Canada
ODFL UW Equity,Old Dominion Freight Line Inc
CAP FP Equity,Capgemini SE
FANG UW Equity,Diamondback Energy Inc
ITUB4 BS Equity,Itau Unibanco Holding SA
MTD UN Equity,Mettler-Toledo International Inc
PETR3 BS Equity,Petroleo Brasileiro SA
