Ticker,Name
CLI SP Equity,Capitaland Investment Ltd/Singapore
INGR UN Equity,Ingredion Inc
LHA GY Equity,Deutsche Lufthansa AG
SKFB SS Equity,SKF AB
9143 JT Equity,SG Holdings Co Ltd
002812 C2 Equity,Yunnan Energy New Material Co Ltd
GAPB MF Equity,Grupo Aeroportuario del Pacifico SAB de CV
VAC UN Equity,Marriott Vacations Worldwide Corp
ADM LN Equity,Admiral Group PLC
002049 C2 Equity,Unigroup Guoxin Microelectronics Co Ltd
066570 KP Equity,LG Electronics Inc
EXLS UW Equity,ExlService Holdings Inc
ONB UW Equity,Old National Bancorp/IN
LTHM UN Equity,Livent Corp
DAL UN Equity,Delta Air Lines Inc
PRI UN Equity,Primerica Inc
SF UN Equity,Stifel Financial Corp
AMN UN Equity,AMN Healthcare Services Inc
M UN Equity,Macy's Inc
FYBR UW Equity,Frontier Communications Parent Inc
AUTO LN Equity,Auto Trader Group PLC
SM UN Equity,SM Energy Co
PII UN Equity,Polaris Inc
WU UN Equity,Western Union Co/The
4005 JT Equity,Sumitomo Chemical Co Ltd
CMC UN Equity,Commercial Metals Co
SPK NZ Equity,Spark New Zealand Ltd
8952 JT Equity,Japan Real Estate Investment Corp
SULAIMAN AB Equity,Dr Sulaiman Al Habib Medical Services Group Co
SIA SP Equity,Singapore Airlines Ltd
RADL3 BS Equity,Raia Drogasil SA
LREN3 BS Equity,Lojas Renner SA
688599 C1 Equity,Trina Solar Co Ltd
EXEL UW Equity,Exelixis Inc
8601 JT Equity,Daiwa Securities Group Inc
RLI UN Equity,RLI Corp
ADC UN Equity,Agree Realty Corp
LBTYK UW Equity,Liberty Global PLC
DCC LN Equity,DCC PLC
APLS UW Equity,Apellis Pharmaceuticals Inc
SAIA UW Equity,Saia Inc
MOCORP FH Equity,Metso Outotec Oyj
X CT Equity,TMX Group Ltd
ZAL GY Equity,Zalando SE
6383 JT Equity,Daifuku Co Ltd
AXTA UN Equity,Axalta Coating Systems Ltd
BLD UN Equity,TopBuild Corp
000725 C2 Equity,BOE Technology Group Co Ltd
NATI UW Equity,National Instruments Corp
STN CT Equity,Stantec Inc
SHP SJ Equity,Shoprite Holdings Ltd
BC UN Equity,Brunswick Corp/DE
UBSI UW Equity,United Bankshares Inc/WV
MHK UN Equity,Mohawk Industries Inc
1177 HK Equity,Sino Biopharmaceutical Ltd
G1A GY Equity,GEA Group AG
DXS AT Equity,Dexus
RS1 LN Equity,RS GROUP PLC
DVA UN Equity,DaVita Inc
FFIN UW Equity,First Financial Bankshares Inc
EQTL3 BS Equity,Equatorial Energia SA
STAG UN Equity,STAG Industrial Inc
LFUS UW Equity,Littelfuse Inc
CAR-U CT Equity,Canadian Apartment Properties REIT
BWXT UN Equity,BWX Technologies Inc
002129 C2 Equity,TCL Zhonghuan Renewable Energy Technology Co Ltd
2269 JT Equity,MEIJI Holdings Co Ltd
CEMEXCPO MF Equity,Cemex SAB de CV
RCI/B CT Equity,Rogers Communications Inc
XPO UN Equity,XPO Logistics Inc
ASH UN Equity,Ashland Inc
EFN CT Equity,Element Fleet Management Corp
TREX UN Equity,Trex Co Inc
ALA CT Equity,AltaGas Ltd
ADEN SE Equity,Adecco Group AG
SNV UN Equity,Synovus Financial Corp
EPIB SS Equity,Epiroc AB
PENN UW Equity,Penn Entertainment Inc
CEZ CK Equity,CEZ AS
WWD UW Equity,Woodward Inc
X UN Equity,United States Steel Corp
AIA NZ Equity,Auckland International Airport Ltd
GMED UN Equity,Globus Medical Inc
CTEC LN Equity,ConvaTec Group PLC
ESLT IT Equity,Elbit Systems Ltd
LUV UN Equity,Southwest Airlines Co
VVV UN Equity,Valvoline Inc
RXL FP Equity,Rexel SA
600893 C1 Equity,AECC Aviation Power Co Ltd
ADVANC TB Equity,Advanced Info Service PCL
FLO UN Equity,Flowers Foods Inc
601601 C1 Equity,China Pacific Insurance Group Co Ltd
KRTX UQ Equity,Karuna Therapeutics Inc
TRELB SS Equity,Trelleborg AB
300498 C2 Equity,Wens Foodstuffs Group Co Ltd
ALARKAN AB Equity,Dar Al Arkan Real Estate Development Co
DIVI IS Equity,Divi's Laboratories Ltd
992 HK Equity,Lenovo Group Ltd
VCX AT Equity,Vicinity Ltd
OZL AT Equity,OZ Minerals Ltd
BRIT IS Equity,Britannia Industries Ltd
TOST UN Equity,Toast Inc
LHCG UW Equity,LHC Group Inc
BJAZ AB Equity,Bank Al-Jazira
IDA UN Equity,IDACORP Inc
CADE UN Equity,Cadence Bank
OPCH UW Equity,Option Care Health Inc
MNG LN Equity,M&G PLC
UHAL UW Equity,AMERCO
AKE FP Equity,Arkema SA
HKL SP Equity,Hongkong Land Holdings Ltd
IAA UN Equity,IAA Inc
MRO LN Equity,Melrose Industries PLC
EDPR PL Equity,EDP Renovaveis SA
NHPC IS Equity,NHPC Ltd
2890 TT Equity,SinoPac Financial Holdings Co Ltd
FNB UN Equity,FNB Corp/PA
HXL UN Equity,Hexcel Corp
VLY UW Equity,Valley National Bancorp
LITE UW Equity,Lumentum Holdings Inc
HOG UN Equity,Harley-Davidson Inc
2207 TT Equity,Hotai Motor Co Ltd
ENR GY Equity,Siemens Energy AG
HUN UN Equity,Huntsman Corp
002460 C2 Equity,Ganfeng Lithium Group Co Ltd
8953 JT Equity,Japan Metropolitan Fund Invest
CHX UW Equity,ChampionX Corp
BSL AT Equity,BlueScope Steel Ltd
ESTC UN Equity,Elastic NV
Z UW Equity,Zillow Group Inc
PNDORA DC Equity,Pandora A/S
SYNH UW Equity,Syneos Health Inc
BEAN SE Equity,Belimo Holding AG
3462 JT Equity,Nomura Real Estate Master Fund Inc
PLNT UN Equity,Planet Fitness Inc
RAIL3 BS Equity,Rumo SA
LNW UW Equity,Light & Wonder Inc
MGR AT Equity,Mirvac Group
CIMB MK Equity,CIMB Group Holdings Bhd
ELE SQ Equity,Endesa SA
VOW GY Equity,Volkswagen AG
SRC UN Equity,Spirit Realty Capital Inc
BBDC3 BS Equity,Banco Bradesco SA
TECN SE Equity,Tecan Group AG
GALP PL Equity,Galp Energia SGPS SA
LNTH UQ Equity,Lantheus Holdings Inc
RYN UN Equity,Rayonier Inc
POST UN Equity,Post Holdings Inc
JARIR AB Equity,Jarir Marketing Co
QDEL UW Equity,QuidelOrtho Corp
GPT AT Equity,GPT Group/The
9501 JT Equity,Tokyo Electric Power Co Holdings Inc
CHH UN Equity,Choice Hotels International Inc
8795 JT Equity,T&D Holdings Inc
KRC UN Equity,Kilroy Realty Corp
PSPN SE Equity,PSP Swiss Property AG
GWRE UN Equity,Guidewire Software Inc
BJAUT IS Equity,Bajaj Auto Ltd
FSV CT Equity,FirstService Corp
SITE UN Equity,SiteOne Landscape Supply Inc
000792 C2 Equity,Qinghai Salt Lake Industry Co Ltd
1801 JT Equity,Taisei Corp
INSP UN Equity,Inspire Medical Systems Inc
DEN UN Equity,Denbury Inc
PBF UN Equity,PBF Energy Inc
AC FP Equity,Accor SA
030200 KP Equity,KT Corp
TSEM IT Equity,Tower Semiconductor Ltd
6504 JT Equity,Fuji Electric Co Ltd
3008 TT Equity,Largan Precision Co Ltd
ANG SJ Equity,AngloGold Ashanti Ltd
ALD AT Equity,Ampol Ltd
CPR IM Equity,Davide Campari-Milano NV
8473 JT Equity,SBI Holdings Inc/Japan
QLYS UW Equity,Qualys Inc
RCM UW Equity,R1 RCM Inc
DKNG UW Equity,DraftKings Inc
SLM SJ Equity,Sanlam Ltd
TPX UN Equity,Tempur Sealy International Inc
OZK UW Equity,Bank OZK
4204 JT Equity,Sekisui Chemical Co Ltd
ADIB DH Equity,Abu Dhabi Islamic Bank PJSC
BIMBOA MF Equity,Grupo Bimbo SAB de CV
7912 JT Equity,Dai Nippon Printing Co Ltd
096770 KP Equity,SK Innovation Co Ltd
16 HK Equity,Sun Hung Kai Properties Ltd
URW NA Equity,Unibail-Rodamco-Westfield
ASGN UN Equity,ASGN Inc
HOMB UN Equity,Home BancShares Inc/AR
FAF UN Equity,First American Financial Corp
OTP HB Equity,OTP Bank Nyrt
HLAG GY Equity,Hapag-Lloyd AG
8069 TT Equity,E Ink Holdings Inc
TGNA UN Equity,TEGNA Inc
600031 C1 Equity,Sany Heavy Industry Co Ltd
5332 JT Equity,TOTO Ltd
EHC UN Equity,Encompass Health Corp
EXPO UW Equity,Exponent Inc
WCP CT Equity,Whitecap Resources Inc
017670 KP Equity,SK Telecom Co Ltd
NYT UN Equity,New York Times Co/The
CR UN Equity,Crane Holdings Co
CABO UN Equity,Cable One Inc
AMG UN Equity,Affiliated Managers Group Inc
HTHT UW Equity,H World Group Ltd
CPN TB Equity,Central Pattana PCL
CNA LN Equity,Centrica PLC
TLI TB Equity,Thai Life Insurance PCL
5411 JT Equity,JFE Holdings Inc
SKX UN Equity,Skechers USA Inc
NED SJ Equity,Nedbank Group Ltd
SGP AT Equity,Stockland
LPX UN Equity,Louisiana-Pacific Corp
PHNX LN Equity,Phoenix Group Holdings PLC
KGF LN Equity,Kingfisher PLC
ENSG UW Equity,Ensign Group Inc/The
CROX UW Equity,Crocs Inc
PSN LN Equity,Persimmon PLC
688111 C1 Equity,Beijing Kingsoft Office Software Inc
CNXC UW Equity,Concentrix Corp
K CT Equity,Kinross Gold Corp
INDT SS Equity,Indutrade AB
6586 JT Equity,Makita Corp
MTZ UN Equity,MasTec Inc
600104 C1 Equity,SAIC Motor Corp Ltd
600016 C1 Equity,China Minsheng Banking Corp Ltd
SKAB SS Equity,Skanska AB
LEG GY Equity,LEG Immobilien SE
601985 C1 Equity,China National Nuclear Power Co Ltd
RH UN Equity,RH
2357 TT Equity,Asustek Computer Inc
KESKOB FH Equity,Kesko Oyj
CAREIT SP Equity,CapitaLand Ascendas REIT
FTI UN Equity,TechnipFMC PLC
TOL UN Equity,Toll Brothers Inc
LAND LN Equity,Land Securities Group PLC
SWX UN Equity,Southwest Gas Holdings Inc
9064 JT Equity,Yamato Holdings Co Ltd
EMSN SE Equity,EMS-Chemie Holding AG
600150 C1 Equity,China CSSC Holdings Ltd
VOLVA SS Equity,Volvo AB
BDO PM Equity,BDO Unibank Inc
RDOR3 BS Equity,Rede D'Or Sao Luiz SA
BBNI IJ Equity,Bank Negara Indonesia Persero Tbk PT
PKO PW Equity,Powszechna Kasa Oszczednosci Bank Polski SA
7752 JT Equity,Ricoh Co Ltd
TKR UN Equity,Timken Co/The
KLBN11 BS Equity,Klabin SA
PSNY UQ Equity,Polestar Automotive Holding UK PLC
HWC UW Equity,Hancock Whitney Corp
RMV LN Equity,Rightmove PLC
601818 C1 Equity,China Everbright Bank Co Ltd
IPL AT Equity,Incitec Pivot Ltd
601669 C1 Equity,Power Construction Corp of China Ltd
3283 JT Equity,Nippon Prologis REIT Inc
QIIK QD Equity,Qatar International Islamic Bank QSC
LYC AT Equity,Lynas Rare Earths Ltd
600019 C1 Equity,Baoshan Iron & Steel Co Ltd
SIRI UW Equity,Sirius XM Holdings Inc
5019 JT Equity,Idemitsu Kosan Co Ltd
PUM GY Equity,Puma SE
AN UN Equity,AutoNation Inc
MKSI UW Equity,MKS Instruments Inc
JOMAR AB Equity,Jabal Omar Development Co
CC UN Equity,Chemours Co/The
3088 JT Equity,MatsukiyoCocokara & Co
TOP DC Equity,Topdanmark AS
KEY CT Equity,Keyera Corp
SWCH UN Equity,Switch Inc
WEIR LN Equity,Weir Group PLC/The
BOL FP Equity,Bollore SE
CCH LN Equity,Coca-Cola HBC AG
916 HK Equity,China Longyuan Power Group Corp Ltd
SPSC UW Equity,SPS Commerce Inc
WIL SP Equity,Wilmar International Ltd
PIDI IS Equity,Pidilite Industries Ltd
SMDS LN Equity,DS Smith PLC
ZAIN KK Equity,Mobile Telecommunications Co KSCP
BHE IS Equity,Bharat Electronics Ltd
601816 C1 Equity,Beijing-Shanghai High Speed Railway Co Ltd
DABUR IS Equity,Dabur India Ltd
RHP UN Equity,Ryman Hospitality Properties Inc
ANTO LN Equity,Antofagasta PLC
001979 C2 Equity,China Merchants Shekou Industrial Zone Holdings Co Ltd
2912 TT Equity,President Chain Store Corp
MSA UN Equity,MSA Safety Inc
NOVT UW Equity,Novanta Inc
ROG UN Equity,Rogers Corp
EXP UN Equity,Eagle Materials Inc
S UN Equity,SentinelOne Inc
H UN Equity,Hyatt Hotels Corp
ORNBV FH Equity,Orion Oyj
3037 TT Equity,Unimicron Technology Corp
1928 HK Equity,Sands China Ltd
THG UN Equity,Hanover Insurance Group Inc/The
2887 TT Equity,Taishin Financial Holding Co Ltd
FUNO11 MF Equity,Fibra Uno Administracion SA de CV
GFC FP Equity,Gecina SA
034730 KP Equity,SK Inc
GF SE Equity,Georg Fischer AG
002493 C2 Equity,Rongsheng Petrochemical Co Ltd
AIT UN Equity,Applied Industrial Technologies Inc
288 HK Equity,WH Group Ltd
PRIO3 BS Equity,Petro Rio SA
WIX UW Equity,Wix.com Ltd
SAB SQ Equity,Banco de Sabadell SA
ONGC IS Equity,Oil & Natural Gas Corp Ltd
YRI CT Equity,Yamana Gold Inc
WOR AT Equity,Worley Ltd
MGY UN Equity,Magnolia Oil & Gas Corp
600346 C1 Equity,Hengli Petrochemical Co Ltd
AFX GY Equity,Carl Zeiss Meditec AG
3436 JT Equity,SUMCO Corp
BIM FP Equity,BioMerieux
SBRY LN Equity,J Sainsbury PLC
MEG CT Equity,MEG Energy Corp
SEK AT Equity,SEEK Ltd
SJI UN Equity,South Jersey Industries Inc
BYD UN Equity,Boyd Gaming Corp
CLR UN Equity,Continental Resources Inc/OK
600188 C1 Equity,Yankuang Energy Group Co Ltd
3281 JT Equity,GLP J-Reit
CPG CT Equity,Crescent Point Energy Corp
2609 TT Equity,Yang Ming Marine Transport Corp
ALDAR DH Equity,Aldar Properties PJSC
ADP FP Equity,Aeroports de Paris
960 HK Equity,Longfor Group Holdings Ltd
6448 JT Equity,Brother Industries Ltd
HP UN Equity,Helmerich & Payne Inc
2897 JT Equity,Nissin Foods Holdings Co Ltd
AQUA UN Equity,Evoqua Water Technologies Corp
BCPC UW Equity,Balchem Corp
OLED UW Equity,Universal Display Corp
DLB UN Equity,Dolby Laboratories Inc
PKN PW Equity,Polski Koncern Naftowy ORLEN SA
REI-U CT Equity,RioCan Real Estate Investment Trust
GH UW Equity,Guardant Health Inc
BG AV Equity,BAWAG Group AG
BDEV LN Equity,Barratt Developments PLC
316140 KP Equity,Woori Financial Group Inc
LEG UN Equity,Leggett & Platt Inc
BAMI IM Equity,Banco BPM SpA
6724 JT Equity,Seiko Epson Corp
LI FP Equity,Klepierre SA
THC UN Equity,Tenet Healthcare Corp
UNVR UN Equity,Univar Solutions Inc
9007 JT Equity,Odakyu Electric Railway Co Ltd
GFS UW Equity,GLOBALFOUNDRIES Inc
9001 JT Equity,Tobu Railway Co Ltd
BPAC3 BS Equity,Banco BTG Pactual SA
VRT UN Equity,Vertiv Holdings Co
601390 C1 Equity,China Railway Group Ltd
SDR LN Equity,Schroders PLC
SCHFL IS Equity,Schaeffler India Ltd
HTZ UW Equity,Hertz Global Holdings Inc
2587 JT Equity,Suntory Beverage & Food Ltd
THO UN Equity,Thor Industries Inc
9147 JT Equity,NIPPON EXPRESS HOLDINGS INC
2301 TT Equity,Lite-On Technology Corp
600585 C1 Equity,Anhui Conch Cement Co Ltd
COAL IS Equity,Coal India Ltd
UFPI UW Equity,UFP Industries Inc
BEZ LN Equity,Beazley PLC
BMW3 GY Equity,Bayerische Motoren Werke AG
BKG LN Equity,Berkeley Group Holdings PLC
COHR UW Equity,Coherent Corp
8984 JT Equity,Daiwa House REIT Investment Corp
RAND NA Equity,Randstad NV
EMP/A CT Equity,Empire Co Ltd
HAE UN Equity,Haemonetics Corp
AZJ AT Equity,Aurizon Holdings Ltd
SRF IS Equity,SRF Ltd
600009 C1 Equity,Shanghai International Airport Co Ltd
5938 JT Equity,Lixil Corp
6841 JT Equity,Yokogawa Electric Corp
3034 TT Equity,Novatek Microelectronics Corp
601009 C1 Equity,Bank of Nanjing Co Ltd
600919 C1 Equity,Bank of Jiangsu Co Ltd
968 HK Equity,Xinyi Solar Holdings Ltd
SDF GY Equity,K+S AG
4904 TT Equity,Far EasTone Telecommunications Co Ltd
JMAT LN Equity,Johnson Matthey PLC
NJR UN Equity,New Jersey Resources Corp
SMAR UN Equity,Smartsheet Inc
HLI UN Equity,Houlihan Lokey Inc
KEX UN Equity,Kirby Corp
600050 C1 Equity,China United Network Communications Ltd
LYFT UW Equity,Lyft Inc
9697 JT Equity,Capcom Co Ltd
ANA SQ Equity,Acciona SA
7259 JT Equity,Aisin Corp
ATKR UN Equity,Atkore Inc
SOL AT Equity,Washington H Soul Pattinson & Co Ltd
ERF CT Equity,Enerplus Corp
VNO UN Equity,Vornado Realty Trust
FLR UN Equity,Fluor Corp
009150 KP Equity,Samsung Electro-Mechanics Co Ltd
788 HK Equity,China Tower Corp Ltd
SLAB UW Equity,Silicon Laboratories Inc
ESI UN Equity,Element Solutions Inc
SGRE SQ Equity,Siemens Gamesa Renewable Energy SA
EEFT UW Equity,Euronet Worldwide Inc
RUN UW Equity,Sunrun Inc
BKH UN Equity,Black Hills Corp
1024 HK Equity,Kuaishou Technology
9766 JT Equity,Konami Group Corp
WRT1V FH Equity,Wartsila OYJ Abp
7911 JT Equity,TOPPAN INC
BH TB Equity,Bumrungrad Hospital PCL
ELI BB Equity,Elia Group SA/NV
UMPQ UW Equity,Umpqua Holdings Corp
AGNC UW Equity,AGNC Investment Corp
6806 JT Equity,Hirose Electric Co Ltd
1812 JT Equity,Kajima Corp
OCI NA Equity,OCI NV
SCCO UN Equity,Southern Copper Corp
BID SJ Equity,Bid Corp Ltd
BHF UW Equity,Brighthouse Financial Inc
CAR AT Equity,carsales.com Ltd
MTG UN Equity,MGIC Investment Corp
83 HK Equity,Sino Land Co Ltd
PNM UN Equity,PNM Resources Inc
EA TB Equity,Energy Absolute PCL
MAN UN Equity,ManpowerGroup Inc
BIPC CT Equity,Brookfield Infrastructure Corp
MEDP UW Equity,Medpace Holdings Inc
FOX UW Equity,Fox Corp
NYCB UN Equity,New York Community Bancorp Inc
1802 JT Equity,Obayashi Corp
NSP UN Equity,Insperity Inc
CBT UN Equity,Cabot Corp
AGL UN Equity,agilon health Inc
KRG UN Equity,Kite Realty Group Trust
BOX UN Equity,Box Inc
FN UN Equity,Fabrinet
ITCI UW Equity,Intra-Cellular Therapies Inc
OGS UN Equity,ONE Gas Inc
BKT SQ Equity,Bankinter SA
G24 GY Equity,Scout24 SE
AVV LN Equity,AVEVA Group PLC
UTG LN Equity,UNITE Group PLC/The
AXS UN Equity,Axis Capital Holdings Ltd
601211 C1 Equity,Guotai Junan Securities Co Ltd
6370 JT Equity,Kurita Water Industries Ltd
TRNO UN Equity,Terreno Realty Corp
ESNT UN Equity,Essent Group Ltd
POR UN Equity,Portland General Electric Co
4755 JT Equity,Rakuten Group Inc
WTM UN Equity,White Mountains Insurance Group Ltd
SLM UW Equity,SLM Corp
ORA UN Equity,Ormat Technologies Inc
BESI NA Equity,BE Semiconductor Industries NV
9684 JT Equity,Square Enix Holdings Co Ltd
PETROR AB Equity,Rabigh Refining & Petrochemical Co
PINC UW Equity,Premier Inc
PAG IS Equity,Page Industries Ltd
TEL2B SS Equity,Tele2 AB
CWST UW Equity,Casella Waste Systems Inc
EMBRACB SF Equity,Embracer Group AB
FIVN UQ Equity,Five9 Inc
6415 TT Equity,Silergy Corp
9009 JT Equity,Keisei Electric Railway Co Ltd
002311 C2 Equity,Guangdong Haid Group Co Ltd
CSAN3 BS Equity,Cosan SA
091990 KQ Equity,Celltrion Healthcare Co Ltd
CLVT UN Equity,Clarivate PLC
4 HK Equity,Wharf Holdings Ltd/The
AVT UW Equity,Avnet Inc
PST IM Equity,Poste Italiane SpA
TPWR IS Equity,Tata Power Co Ltd/The
000810 KP Equity,Samsung Fire & Marine Insurance Co Ltd
INDB UW Equity,Independent Bank Corp
VALMT FH Equity,Valmet Oyj
VBBR3 BS Equity,Vibra Energia SA
QFLS QD Equity,Qatar Fuel QSC
000625 C2 Equity,Chongqing Changan Automobile Co Ltd
CHILE CC Equity,Banco de Chile
601006 C1 Equity,Daqin Railway Co Ltd
FIBK UW Equity,First Interstate BancSystem Inc
SRCL UW Equity,Stericycle Inc
FIX UN Equity,Comfort Systems USA Inc
GETIB SS Equity,Getinge AB
HSV LN Equity,HomeServe PLC
SECUB SS Equity,Securitas AB
SLGN UN Equity,Silgan Holdings Inc
ABN NA Equity,ABN AMRO Bank NV
ACEM IS Equity,Ambuja Cements Ltd
SAM UN Equity,Boston Beer Co Inc/The
UCBI UW Equity,United Community Banks Inc/GA
SCOTIABK CC Equity,Scotiabank Chile SA
HE UN Equity,Hawaiian Electric Industries Inc
CIGI CT Equity,Colliers International Group Inc
QGTS QD Equity,Qatar Gas Transport Co Ltd
GXO UN Equity,GXO Logistics Inc
NTRA UW Equity,Natera Inc
8331 JT Equity,Chiba Bank Ltd/The
COUP UW Equity,Coupa Software Inc
SIIG AB Equity,Saudi Industrial Investment Group
THYAO TI Equity,Turk Hava Yollari AO
POWI UW Equity,Power Integrations Inc
7261 JT Equity,Mazda Motor Corp
CRUS UW Equity,Cirrus Logic Inc
IEL AT Equity,IDP Education Ltd
OWL UN Equity,Blue Owl Capital Inc
BEPC CT Equity,Brookfield Renewable Corp
5333 JT Equity,NGK Insulators Ltd
268 HK Equity,Kingdee International Software Group Co Ltd
ABDN LN Equity,abrdn plc
2181 JT Equity,Persol Holdings Co Ltd
ENG SQ Equity,Enagas SA
SBSP3 BS Equity,Cia de Saneamento Basico do Estado de Sao Paulo
998 HK Equity,China CITIC Bank Corp Ltd
CRSP UQ Equity,CRISPR Therapeutics AG
CYTK UW Equity,Cytokinetics Inc
UPLL IS Equity,UPL Ltd
BHFC IS Equity,Bharat Forge Ltd
SNX UN Equity,TD SYNNEX Corp
REA AT Equity,REA Group Ltd
SSW SJ Equity,Sibanye Stillwater Ltd
KSS UN Equity,Kohl's Corp
CPX CT Equity,Capital Power Corp
WING UW Equity,Wingstop Inc
1066 HK Equity,Shandong Weigao Group Medical Polymer Co Ltd
BBSE3 BS Equity,BB Seguridade Participacoes SA
010130 KP Equity,Korea Zinc Co Ltd
LAZ UN Equity,Lazard Ltd
ASO UW Equity,Academy Sports & Outdoors Inc
IVN CT Equity,Ivanhoe Mines Ltd
CIFC IS Equity,Cholamandalam Investment and Finance Co Ltd
3064 JT Equity,MonotaRO Co Ltd
AWI UN Equity,Armstrong World Industries Inc
TRTN UN Equity,Triton International Ltd
9602 JT Equity,Toho Co Ltd/Tokyo
ALSN UN Equity,Allison Transmission Holdings Inc
RL UN Equity,Ralph Lauren Corp
BXMT UN Equity,Blackstone Mortgage Trust Inc
HYPE3 BS Equity,Hypera SA
BOUBYAN KK Equity,Boubyan Bank KSCP
MSM UN Equity,MSC Industrial Direct Co Inc
4185 JT Equity,JSR Corp
TEMN SE Equity,Temenos AG
CELH UR Equity,Celsius Holdings Inc
RITM UN Equity,Rithm Capital Corp
ALKS UW Equity,Alkermes PLC
IAC UW Equity,IAC Inc
7747 JT Equity,Asahi Intecc Co Ltd
R UN Equity,Ryder System Inc
TRENT IS Equity,Trent Ltd
2395 TT Equity,Advantech Co Ltd
SOI FP Equity,SOITEC
SOFI UW Equity,SoFi Technologies Inc
IMI LN Equity,IMI PLC
WTS UN Equity,Watts Water Technologies Inc
GCPL IS Equity,Godrej Consumer Products Ltd
TOM NO Equity,TOMRA Systems ASA
VAL UN Equity,Valaris Ltd
KAYAN AB Equity,Saudi Kayan Petrochemical Co
IGG LN Equity,IG Group Holdings PLC
BPAC5 BS Equity,Banco BTG Pactual SA
600111 C1 Equity,China Northern Rare Earth Group High-Tech Co Ltd
IPN FP Equity,Ipsen SA
RCO FP Equity,Remy Cointreau SA
VET CT Equity,Vermilion Energy Inc
300896 C2 Equity,Imeik Technology Development Co Ltd
9868 HK Equity,XPeng Inc
PATH UN Equity,UiPath Inc
ATI UN Equity,ATI Inc
600999 C1 Equity,China Merchants Securities Co Ltd
TENB UW Equity,Tenable Holdings Inc
TDOC UN Equity,Teladoc Health Inc
LLC AT Equity,Lendlease Corp Ltd
BLND LN Equity,British Land Co PLC/The
603799 C1 Equity,Zhejiang Huayou Cobalt Co Ltd
DISH UW Equity,DISH Network Corp
TW/ LN Equity,Taylor Wimpey PLC
CVBF UW Equity,CVB Financial Corp
REC IM Equity,Recordati Industria Chimica e Farmaceutica SpA
RYAN UN Equity,Ryan Specialty Holdings Inc
9008 JT Equity,Keio Corp
GALE SE Equity,Galenica AG
CIVI UN Equity,Civitas Resources Inc
ORI AT Equity,Orica Ltd
1876 HK Equity,Budweiser Brewing Co APAC Ltd
ADRO IJ Equity,Adaro Energy Indonesia Tbk PT
APLE UN Equity,Apple Hospitality REIT Inc
5334 JT Equity,NGK Spark Plug Co Ltd
BFAM UN Equity,Bright Horizons Family Solutions Inc
WDP BB Equity,Warehouses De Pauw CVA
TNDM UQ Equity,Tandem Diabetes Care Inc
VC UW Equity,Visteon Corp
2379 TT Equity,Realtek Semiconductor Corp
ZWS UN Equity,Zurn Elkay Water Solutions Corp
SFBS UN Equity,ServisFirst Bancshares Inc
MMS UN Equity,Maximus Inc
PCH UW Equity,PotlatchDeltic Corp
LUKN SE Equity,Luzerner Kantonalbank AG
ALI PM Equity,Ayala Land Inc
247540 KQ Equity,Ecopro BM Co Ltd
ETRN UN Equity,Equitrans Midstream Corp
CLN SE Equity,Clariant AG
UMBF UW Equity,UMB Financial Corp
DIE BB Equity,D'ieteren Group
JBSS3 BS Equity,JBS SA
4751 JT Equity,CyberAgent Inc
601138 C1 Equity,Foxconn Industrial Internet Co Ltd
6845 JT Equity,Azbil Corp
603501 C1 Equity,Will Semiconductor Co Ltd Shanghai
AL UN Equity,Air Lease Corp
EXX SJ Equity,Exxaro Resources Ltd
EBC UW Equity,Eastern Bankshares Inc
FUL UN Equity,HB Fuller Co
IRT UN Equity,Independence Realty Trust Inc
LANC UW Equity,Lancaster Colony Corp
FLS UN Equity,Flowserve Corp
WISE LN Equity,Wise PLC
HOLMB SS Equity,Holmen AB
CRC UN Equity,California Resources Corp
PCOR UN Equity,Procore Technologies Inc
12 HK Equity,Henderson Land Development Co Ltd
CALX UN Equity,Calix Inc
034020 KP Equity,Doosan Enerbility Co Ltd
2409 TT Equity,AUO Corp
2875 JT Equity,Toyo Suisan Kaisha Ltd
BPI PM Equity,Bank of the Philippine Islands
4062 JT Equity,Ibiden Co Ltd
BEZQ IT Equity,Bezeq The Israeli Telecommunication Corp Ltd
ADNOCDIS DH Equity,Abu Dhabi National Oil Co for Distribution PJSC
BIMAS TI Equity,BIM Birlesik Magazalar AS
SXS LN Equity,Spectris PLC
601688 C1 Equity,Huatai Securities Co Ltd
ICICIGI IS Equity,ICICI Lombard General Insurance Co Ltd
TWNK UR Equity,Hostess Brands Inc
OMF UN Equity,OneMain Holdings Inc
RDN UN Equity,Radian Group Inc
8954 JT Equity,Orix JREIT Inc
AJRD UN Equity,Aerojet Rocketdyne Holdings Inc
YANSAB AB Equity,Yanbu National Petrochemical Co
HELN SE Equity,Helvetia Holding AG
MLI UN Equity,Mueller Industries Inc
AGO UN Equity,Assured Guaranty Ltd
300316 C2 Equity,Zhejiang Jingsheng Mechanical & Electrical Co Ltd
7276 JT Equity,Koito Manufacturing Co Ltd
2127 JT Equity,Nihon M&A Center Holdings Inc
QAN AT Equity,Qantas Airways Ltd
000166 C2 Equity,Shenwan Hongyuan Group Co Ltd
SYNA UW Equity,Synaptics Inc
HSX LN Equity,Hiscox Ltd
ZD UW Equity,Ziff Davis Inc
UAL UW Equity,United Airlines Holdings Inc
CRC TB Equity,Central Retail Corp PCL
SIBC AB Equity,Saudi Investment Bank/The
ENEV3 BS Equity,Eneva SA
