Ticker
MQG AT Equity
O UN Equity
PH UN Equity
ADYEN NA Equity
EA UW Equity
7267 JT Equity
EQNR NO Equity
HLT UN Equity
CTAS UW Equity
LULU UW Equity
7741 JT Equity
AAL LN Equity
ATD CT Equity
KMI UN Equity
TT UN Equity
ILMN UW Equity
ABI BB Equity
RI FP Equity
CHTR UW Equity
8316 JT Equity
DOW UN Equity
SIKA SE Equity
MNST UW Equity
MCHP UW Equity
WCN CT Equity
HSY UN Equity
NEM UN Equity
XEL UW Equity
ALL UN Equity
ENPH UQ Equity
KKR UN Equity
DPW GY Equity
TCS IS Equity
SPG UN Equity
IQV UN Equity
SHOP CT Equity
ENEL IM Equity
LLOY LN Equity
8766 JT Equity
CRWD UW Equity
RMD UN Equity
ISP IM Equity
KDP UW Equity
CMI UN Equity
MRVL UW Equity
KER FP Equity
TWTR UN Equity
GPN UN Equity
MSCI UN Equity
8031 JT Equity
PRX NA Equity
STZ UN Equity
WES AT Equity
BBCA IJ Equity
CTSH UW Equity
CVE CT Equity
VOD LN Equity
DLTR UW Equity
ALB UN Equity
BBVA SQ Equity
OCBC SP Equity
MFC CT Equity
YUM UN Equity
BN FP Equity
PETR4 BS Equity
LSEG LN Equity
IFX GY Equity
000660 KP Equity
9983 JT Equity
CARR UN Equity
KEYS UN Equity
ED UN Equity
BK UN Equity
005935 KP Equity
ENI IM Equity
AMP UN Equity
ITC IS Equity
ROST UW Equity
WBD UW Equity
DB1 GY Equity
PCAR UW Equity
6981 JT Equity
ALC SE Equity
SQ UN Equity
BA/ LN Equity
VICI UN Equity
WDAY UW Equity
HAL UN Equity
STLA IM Equity
MTB UN Equity
IDXX UW Equity
EXPN LN Equity
BAX UN Equity
OTIS UN Equity
AXSB IS Equity
KR UN Equity
KMB IS Equity
CEG UW Equity
KHC UW Equity
CSGP UW Equity
ON UW Equity
TDG UN Equity
3988 HK Equity
3382 JT Equity
RSG UN Equity
AME UN Equity
DLR UN Equity
PEG UN Equity
TEAM UW Equity
BARC LN Equity
AD NA Equity
WEC UN Equity
CSU CT Equity
ODFL UW Equity
CAP FP Equity
FANG UW Equity
ITUB4 BS Equity
MTD UN Equity
PETR3 BS Equity
ROK UN Equity
9434 JT Equity
FAST UW Equity
PPG UN Equity
INVEB SS Equity
2454 TT Equity
6594 JT Equity
SBAC UW Equity
ABX CT Equity
VRSK UW Equity
WKL NA Equity
BKR UW Equity
ANET UN Equity
ATCOA SS Equity
UOB SP Equity
DD UN Equity
WELL UN Equity
6954 JT Equity
CRH ID Equity
DFS UN Equity
8411 JT Equity
4661 JT Equity
WOW AT Equity
IFC CT Equity
FAB DH Equity
OKE UN Equity
ITX SQ Equity
PRU LN Equity
ES UN Equity
HPQ UN Equity
VMW UN Equity
BMW GY Equity
AWK UN Equity
WBA UW Equity
RACE IM Equity
SLF CT Equity
TTD UQ Equity
7733 JT Equity
6273 JT Equity
AMXL MF Equity
STT UN Equity
TCL AT Equity
4503 JT Equity
GMAB DC Equity
NBK KK Equity
HUVR IS Equity
HOLN SE Equity
GLW UN Equity
GWW UN Equity
IFF UN Equity
AVB UN Equity
APTV UN Equity
CTRA UN Equity
RIBL AB Equity
PDD UW Equity
CPRT UW Equity
RWE GY Equity
WTW UW Equity
ALNY UW Equity
PCG UN Equity
VOW3 GY Equity
GIVN SE Equity
FITB UW Equity
ABC UN Equity
DSY FP Equity
APNT IS Equity
EQR UN Equity
TSCO UW Equity
DSV DC Equity
TROW UW Equity
QNBK QD Equity
GPC UN Equity
IT UN Equity
EAND DH Equity
FNV CT Equity
GFNORTEO MF Equity
VOLVB SS Equity
ZBH UN Equity
DHI UN Equity
NOKIA FH Equity
FERG LN Equity
7751 JT Equity
LT IS Equity
SABIC AB Equity
HIG UN Equity
WY UN Equity
AMS SQ Equity
IMB LN Equity
600036 C1 Equity
CDW UW Equity
FTV UN Equity
CBRE UN Equity
EXR UN Equity
NA CT Equity
STM FP Equity
VEEV UN Equity
NESTE FH Equity
SREN SE Equity
ENGI FP Equity
RIO AT Equity
CF UN Equity
UCG IM Equity
EBAY UW Equity
AHT LN Equity
000858 C2 Equity
SANB11 BS Equity
BAF IS Equity
MOH UN Equity
ARE UN Equity
BHARTI IS Equity
FLTR ID Equity
SBIN IS Equity
4543 JT Equity
HBAN UW Equity
EIX UN Equity
9999 HK Equity
DSM NA Equity
MRK GY Equity
006400 KP Equity
LYB UN Equity
DDOG UW Equity
MRO UN Equity
ETR UN Equity
6702 JT Equity
6902 JT Equity
BIDU UW Equity
HEIA NA Equity
BBRI IJ Equity
FRC UN Equity
L CT Equity
NDAQ UW Equity
PFG UW Equity
VMC UN Equity
ARGX UW Equity
INVH UN Equity
LH UN Equity
URI UN Equity
CAH UN Equity
FE UN Equity
AEE UN Equity
5108 JT Equity
RJF UN Equity
GMEXICOB MF Equity
TTWO UW Equity
ALINMA AB Equity
BF/B UN Equity
MLM UN Equity
BBDC4 BS Equity
PWR UN Equity
ULTA UW Equity
HEXAB SS Equity
CFG UN Equity
WALMEX* MF Equity
AEM CT Equity
9022 JT Equity
LR FP Equity
IR UN Equity
RF UN Equity
EFX UN Equity
600900 C1 Equity
MOS UN Equity
ASSAB SS Equity
FMG AT Equity
SAMPO FH Equity
STC AB Equity
STAN LN Equity
GLE FP Equity
ORA FP Equity
K UN Equity
TSN UN Equity
PGHN SE Equity
LPLA UW Equity
VWS DC Equity
ANSS UW Equity
GMG AT Equity
LEN UN Equity
MKC UN Equity
RIVN UW Equity
PPL UN Equity
6503 JT Equity
UPM FH Equity
EPAM UN Equity
TECK/B CT Equity
SSE LN Equity
DOV UN Equity
DTE UN Equity
9020 JT Equity
CHD UN Equity
2269 HK Equity
002594 C2 Equity
FTS CT Equity
TSCO LN Equity
2914 JT Equity
PPL CT Equity
HPE UN Equity
MAADEN AB Equity
ACGL UW Equity
ML FP Equity
ZM UW Equity
VRSN UW Equity
WST UN Equity
SGEN UW Equity
4452 JT Equity
WAT UN Equity
TOU CT Equity
4901 JT Equity
EOAN GY Equity
XYL UN Equity
MAA UN Equity
SGO FP Equity
QSR CT Equity
STLD UW Equity
CNP UN Equity
AMCR UN Equity
6301 JT Equity
STE UN Equity
REP SQ Equity
APO UN Equity
CLX UN Equity
2412 TT Equity
ADS GY Equity
CAG UN Equity
051910 KP Equity
DOL CT Equity
KEY UN Equity
PKI UN Equity
8591 JT Equity
BMRN UW Equity
TRI CT Equity
DRI UN Equity
DBK GY Equity
TEF SQ Equity
GIB/A CT Equity
TDY UN Equity
BR UN Equity
PAYC UN Equity
SAND SS Equity
G IM Equity
8801 JT Equity
HLN LN Equity
CLNX SQ Equity
B3SA3 BS Equity
VNA GY Equity
DGX UN Equity
STO AT Equity
AES UN Equity
6752 JT Equity
NTRS UW Equity
YUMC UN Equity
6971 JT Equity
ERICB SS Equity
1810 HK Equity
SYF UN Equity
6326 JT Equity
PODD UW Equity
BALL UN Equity
601318 C1 Equity
CMS UN Equity
EXPD UW Equity
SWEDA SS Equity
LGEN LN Equity
HOLX UW Equity
IEX UN Equity
EVO SS Equity
SEBA SS Equity
FDS UN Equity
ALGN UW Equity
2308 TT Equity
TEP FP Equity
DNB NO Equity
MM IS Equity
GEBN SE Equity
CINF UW Equity
300760 C2 Equity
6178 JT Equity
WAB UN Equity
8053 JT Equity
SWMA SS Equity
MG CT Equity
4519 JT Equity
TRGP UN Equity
APA UW Equity
VTR UN Equity
MKL UN Equity
6502 JT Equity
8002 JT Equity
FEMSAUBD MF Equity
ESS UN Equity
WPM CT Equity
4523 JT Equity
NTAP UW Equity
WRB UN Equity
8750 JT Equity
FMC UN Equity
035420 KP Equity
QIBK QD Equity
BRO UN Equity
MPWR UW Equity
J UN Equity
SJM UN Equity
SUI UN Equity
8802 JT Equity
EXPE UW Equity
OMC UN Equity
2802 JT Equity
HZNP UW Equity
CSL UN Equity
ORSTED DC Equity
RPRX UW Equity
CABK SQ Equity
2303 TT Equity
VIE FP Equity
SLHN SE Equity
LKQ UW Equity
AVY UN Equity
ATO UN Equity
JBHT UW Equity
TRMB UW Equity
ALL AT Equity
KYGA ID Equity
NIO UN Equity
ZBRA UW Equity
LUMI IT Equity
KBC BB Equity
TYL UN Equity
IRM UN Equity
ATCOB SS Equity
1 HK Equity
2502 JT Equity
KFH KK Equity
JKHY UW Equity
COLOB DC Equity
2331 HK Equity
BG UN Equity
AKAM UW Equity
SIVB UW Equity
SWKS UW Equity
PLTR UN Equity
TXT UN Equity
KNEBV FH Equity
WPC UN Equity
NET UN Equity
SHBA SS Equity
601012 C1 Equity
TLKM IJ Equity
WSP CT Equity
NWG LN Equity
4507 JT Equity
4911 JT Equity
8267 JT Equity
669 HK Equity
SE UN Equity
INCY UW Equity
EVRG UN Equity
COL AT Equity
HWM UN Equity
SGSN SE Equity
DASH UN Equity
IQCD QD Equity
ST SP Equity
PUB FP Equity
BAH UN Equity
BCE CT Equity
UMG NA Equity
LDOS UN Equity
TPL UN Equity
SQM/B CC Equity
AV/ LN Equity
OVV UN Equity
FLT UN Equity
EQT UN Equity
CBOE UF Equity
7269 JT Equity
HRL UN Equity
005380 KP Equity
823 HK Equity
BBY UN Equity
WOLF UN Equity
POW CT Equity
GRMN UN Equity
FHN UN Equity
COO UN Equity
SHL GY Equity
8630 JT Equity
SY1 GY Equity
ABEV3 BS Equity
2 HK Equity
ETSY UW Equity
HST UW Equity
UDR UN Equity
SPLK UW Equity
FSR SJ Equity
ACA FP Equity
601888 C1 Equity
NVR UN Equity
GDDY UN Equity
HO FP Equity
CHK UW Equity
LNT UW Equity
TER UW Equity
RBLX UN Equity
ZS UW Equity
MSIL IS Equity
TWLO UN Equity
DAR UN Equity
BILL UN Equity
EDEN FP Equity
NLOK UW Equity
MRU CT Equity
PINS UN Equity
CNHI IM Equity
4578 JT Equity
IP UN Equity
601166 C1 Equity
ZI UW Equity
NICE IT Equity
7832 JT Equity
AVTR UN Equity
5401 JT Equity
8725 JT Equity
ESSITYB SS Equity
III LN Equity
MTCH UW Equity
CPT UN Equity
HCLT IS Equity
ADANIGR IS Equity
KIM UN Equity
PEAK UN Equity
1925 JT Equity
NPN SJ Equity
HUBB UN Equity
LYV UN Equity
FSLR UW Equity
CHRW UW Equity
8113 JT Equity
MDB UQ Equity
2413 JT Equity
ASM NA Equity
TTAN IS Equity
HUBS UN Equity
PTC UW Equity
9735 JT Equity
1301 TT Equity
SOON SE Equity
