id_ticker,fecha,Weight,Shares,Price,id_sector,id_country,Revenue:Q,Total Return:M-6
4952,2022-06-16,0.002227,1028.556,9.28,9,40,2681115136,27.56858553
6379,2022-06-16,0.001072,655.327,7.01,4,12,1078862592,-21.27186988
6237,2022-06-16,0.001079,275.131,16.81,5,13,449852384,23.87619634
4953,2022-06-16,0.002692,1026.55868,11.24,10,18,33252702208,7.456976387
5124,2022-06-16,0.001602,2973.21024,2.31,10,19,31102554112,-5.327873418
7260,2022-06-16,0.000957,250.88,16.35,4,14,-112770576,1.489756437
3916,2022-06-16,0.003009,61.353,40350,4,21,4.15E+12,-14.45774712
3828,2022-06-16,0.003403,1195.676,12.2,10,18,6181520384,-26.67903487
1657,2022-06-16,0.009555,10502.697,3.9,1,18,50475810816,-19.07693866
4703,2022-06-16,0.001833,1221.858,6.43,4,18,956169856,-12.4594032
4960,2022-06-16,0.001572,789.19092,8.54,10,11,3100222976,14.01869456
2727,2022-06-16,0.004298,145.07752,127,11,30,1885911552,10.43478261
3917,2022-06-16,0.002287,368.25152,26.62,10,11,1210126080,-9.177750514
5117,2022-06-16,0.00164,329.98644,21.3,10,13,2101428864,-39.39171881
5973,2022-06-16,0.001326,1524.467,3.73,8,19,949186816,-7.620416864
5545,2022-06-16,0.001293,145.82932,40.01,5,12,867940736,27.01586769
2322,2022-06-16,0.00723,1657.40148,18.7,10,38,6952128000,-26.49370924
6610,2022-06-16,0.001335,1117.4464,5.12,9,60,12995707904,28.32079883
4562,2022-06-16,0.002196,1548.38796,6.08,9,17,1499124992,-18.49866096
5955,2022-06-16,0.001127,1411.872,3.6,2,18,3177182720,-22.28631443
4071,2022-06-16,0.003242,473.062,29.38,2,31,4609853952,-4.678934895
1770,2022-06-16,0.010535,1521.20556,29.69,6,11,7616801280,-6.927896899
4067,2022-06-16,0.003624,90.98012,170.76,6,11,1688433280,-26.04911359
5750,2022-06-16,0.001795,740.435,10.39,10,13,15156239360,-0.764087122
4403,2022-06-16,0.002562,971.02796,11.31,7,43,10897339392,-2.162629679
6010,2022-06-16,0.001107,322.06048,15.5,7,18,2789274880,25.96006321
2080,2022-06-16,0.006625,28.312,192500,7,12,5.47E+12,-3.668615031
5505,2022-06-16,0.001541,190.164,34.73,2,11,1048321280,-6.854747704
4941,2022-06-16,0.002124,1594.94944,5.71,9,20,23204139008,-24.9671493
5151,2022-06-16,0.002304,533.20932,18.52,5,11,7651366400,14.95965088
4766,2022-06-16,0.002086,274.64892,32.56,2,51,1207874304,-30.14374395
532,2022-06-16,0.045026,1086.85024,177.6,8,21,27548160000,-27.06365252
6477,2022-06-16,0.001197,207.69476,24.7,8,12,3907059456,-33.69127506
7664,2022-06-16,0.000682,101.541,28.79,10,22,1165990016,-10.61781517
6199,2022-06-16,0.001296,781.25824,7.11,2,12,4290487552,-19.3877508
2908,2022-06-16,0.004623,1261.41204,15.71,4,13,29505728512,10.78984274
5936,2022-06-16,0.001329,475.91,11.97,10,22,28898369536,-11.10247422
6753,2022-06-16,0.001053,31.148,27800,5,16,1.31E+13,-11.90197857
5571,2022-06-16,0.001574,1300.474,5.19,7,13,6936240128,-3.351952182
5805,2022-06-16,0.001589,368.6172,18.48,4,25,3358614272,-11.36690973
8963,2022-06-16,0.000407,22.472,14900,9,28,1.31E+13,-4.921746577
5195,2022-06-16,0.001463,243.05624,27.16,5,25,1240968576,-25.50740392
2518,2022-06-16,0.006208,897.85,29.64,10,18,13791191040,1.921582295
6027,2022-06-16,0.001584,1923.957,3.53,2,11,34927001600,-10.1781193
6546,2022-06-16,0.001513,365.268,17.76,1,21,4544604160,-0.46769102
7791,2022-06-16,0.000593,1028.627,2.6,9,15,15591665664,-11.26280391
6445,2022-06-16,0.001183,522.277,9.71,6,11,5380135424,-10.6082103
4710,2022-06-16,0.002392,1934.417,5.3,1,22,41105457152,3.632346805
4355,2022-06-16,0.002033,630.276,13.83,10,11,10750069760,55.5012215
6513,2022-06-16,0.001137,213.763,22.8,3,11,283244000,-6.181065298
5341,2022-06-16,0.001918,983.432,8.36,4,11,9232472064,34.18940018
3503,2022-06-16,0.003559,800.8224,19.05,10,21,15341646848,-14.2278252
6875,2022-06-16,0.000953,328.963,12.42,3,11,7496600064,-26.09032166
7776,2022-06-16,0.00073,650.455,4.81,4,21,1811534080,-6.237819971
6832,2022-06-16,0.001041,955.672,4.67,4,11,31840817152,-31.32353022
5561,2022-06-16,0.001902,467.257,17.45,5,22,15046942720,-2.46422963
2538,2022-06-16,0.004717,489.947,41.27,5,12,8932579328,14.47461132
7870,2022-06-16,0.000859,583.914,6.31,4,11,3669332736,-21.6149094
6949,2022-06-16,0.00088,784.517,4.81,3,11,2822729984,-39.87500072
6286,2022-06-16,0.001018,340.40328,12.82,4,21,2158936832,0.563702907
4002,2022-06-16,0.001921,777.482,10.59,4,22,2234268928,22.08497954
4540,2022-06-16,0.002422,407.042,25.51,5,16,17276882944,-26.91493696
3251,2022-06-16,0.003832,1147.0368,14.32,4,13,13277792256,57.53574757
5466,2022-06-16,0.001764,795.14,9.51,8,29,3604739584,4.73568622
5674,2022-06-16,0.001416,281.541,21.56,2,18,2858113280,-23.45242841
5219,2022-06-16,0.002242,31.311,58900,1,42,3.95E+11,-16.99918223
6844,2022-06-16,0.000876,288.97764,12.99,8,16,1777881728,-23.72284646
5812,2022-06-16,0.001479,368.7516,17.2,5,33,905492160,-27.27272287
